DATE,WAKING5POP_20210504,WAKING5POP_20220324
1970-01-01,1159.369,1159.369
1971-01-01,1149.600,1149.600
1972-01-01,1138.900,1138.900
1973-01-01,1138.900,1138.900
1974-01-01,1153.000,1153.000
1975-01-01,1160.800,1160.800
1976-01-01,1167.800,1167.800
1977-01-01,1182.700,1182.700
1978-01-01,1206.100,1206.100
1979-01-01,1235.600,1235.600
1980-01-01,1269.898,1269.898
1981-01-01,1300.390,1300.390
1982-01-01,1311.370,1311.370
1983-01-01,1316.336,1316.336
1984-01-01,1328.049,1328.049
1985-01-01,1352.665,1352.665
1986-01-01,1377.451,1377.451
1987-01-01,1406.373,1406.373
1988-01-01,1440.287,1440.287
1989-01-01,1476.320,1476.320
1990-01-01,1517.208,1517.208
1991-01-01,1541.496,1541.496
1992-01-01,1571.515,1571.515
1993-01-01,1596.032,1596.032
1994-01-01,1611.851,1611.851
1995-01-01,1631.940,1631.940
1996-01-01,1654.937,1654.937
1997-01-01,1684.755,1684.755
1998-01-01,1712.411,1712.411
1999-01-01,1729.058,1729.058
2000-01-01,1739.423,1739.423
2001-01-01,1757.197,1757.197
2002-01-01,1764.061,1764.061
2003-01-01,1770.970,1770.970
2004-01-01,1783.597,1783.597
2005-01-01,1804.208,1804.208
2006-01-01,1832.259,1832.259
2007-01-01,1857.877,1857.877
2008-01-01,1885.368,1885.368
2009-01-01,1922.645,1922.645
2010-01-01,1938.431,1938.431
2011-01-01,1974.499,1974.499
2012-01-01,2011.708,2011.708
2013-01-01,2047.967,2047.967
2014-01-01,2086.174,2086.174
2015-01-01,2127.372,2127.372
2016-01-01,2167.863,2167.863
2017-01-01,2205.001,2205.001
2018-01-01,2228.488,2228.488
2019-01-01,2249.653,2249.653
2020-01-01,2274.315,2272.571
2021-01-01,.,2252.305
